n,RMSE,MAE,R2,model,subset,fold
1870,33.86601886847809,16.33290282189589,0.9206618040357335,chemprop_v2,non_local,3
3751,33.50931706058594,17.435225447082235,0.9032880593293036,chemprop_v2,full,4
796,49.52731212430042,23.191319369024566,0.6416085790022303,chemprop_v2,lambda500,4
317,70.19724532912039,30.80260607513617,-0.08353570108659558,chemprop_v2,lambda600,4
51,34.82428220749811,22.54574405445772,0.6813502087255849,chemprop_v2,azo,4
1208,24.387392610565172,14.885861933253732,0.9398682160743517,chemprop_v2,da,4
431,23.15193400610479,14.734581173506381,0.9374112399152734,chemprop_v2,dad,4
347,24.823319891527913,13.159079850166608,0.927592428020636,chemprop_v2,bodipy,4
13,38.65774017282944,34.04562847430889,0.2419935773993248,chemprop_v2,cyanine,4
0,,,,chemprop_v2,squaraine,4
301,31.141162009999825,19.270787172919693,0.8995760771886364,chemprop_v2,stilbene,4
1847,36.59151092351855,17.663059787793127,0.907535447175974,chemprop_v2,non_local,4
3751,35.4232478459503,18.787387257980317,0.8865432345240397,bigru_tuned,full,0
747,53.314751488139315,25.944228557670264,0.5514667861893523,bigru_tuned,lambda500,0
303,67.17683639622561,31.178198227649286,-0.05829789371969252,bigru_tuned,lambda600,0
61,49.250041435770896,31.83693507460297,0.42910401575295287,bigru_tuned,azo,0
1192,28.268498450225277,15.894928395763422,0.9136805922208279,bigru_tuned,da,0
422,28.359975720365213,17.323794657395958,0.9106035901415583,bigru_tuned,dad,0
339,24.964090181985313,14.494780936002028,0.9159182894847797,bigru_tuned,bodipy,0
11,8.769390517127208,6.9906005859375,0.9596539650915843,bigru_tuned,cyanine,0
0,,,,bigru_tuned,squaraine,0
286,27.335009736763254,16.99085654874208,0.9088230106807703,bigru_tuned,stilbene,0
1809,39.588188150551915,19.53932127351265,0.8843807158852534,bigru_tuned,non_local,0
3751,35.51220568556798,17.914744787689635,0.8902410801591036,bigru_tuned,full,1
786,56.17503899185749,27.30420508174201,0.5356345199676033,bigru_tuned,lambda500,1
320,77.88411950871931,39.28278705139526,-0.41484940845765794,bigru_tuned,lambda600,1
49,36.6897846261101,27.49339636977838,0.5713851132709482,bigru_tuned,azo,1
1219,29.490336260720838,15.653488926910345,0.9096643833100448,bigru_tuned,da,1
450,28.911250905235566,17.603526520161022,0.9125847427428095,bigru_tuned,dad,1
390,24.399022995873185,14.100645235501803,0.9192225429624056,bigru_tuned,bodipy,1
13,15.027724832619645,12.064347487229567,0.8981889763703659,bigru_tuned,cyanine,1
0,,,,bigru_tuned,squaraine,1
319,38.28183260858458,19.567489881972474,0.8551872484623217,bigru_tuned,stilbene,1
1867,41.17923302181041,19.811951907831016,0.8810678062226737,bigru_tuned,non_local,1
3751,32.0215998831488,17.334760422898476,0.9100826919935562,bigru_tuned,full,2
801,42.537952793052504,23.933617096482912,0.7236589907493316,bigru_tuned,lambda500,2
325,51.813329304489365,30.369319159129805,0.29234888403889503,bigru_tuned,lambda600,2
59,34.55337221784633,22.72142571918035,0.6274776472953769,bigru_tuned,azo,2
1201,28.563203517625144,15.3711659919756,0.916248518523512,bigru_tuned,da,2
422,34.96404432304087,18.776599560832903,0.8581059056649629,bigru_tuned,dad,2
349,21.035807785194777,12.845703354505059,0.9349456135443501,bigru_tuned,bodipy,2
10,29.498986052453347,24.889443969726564,0.7166990021119748,bigru_tuned,cyanine,2
0,,,,bigru_tuned,squaraine,2
313,35.574629347961036,19.777204518808656,0.8562723575185688,bigru_tuned,stilbene,2
1836,33.32073425413917,18.06501138761819,0.9192386879864662,bigru_tuned,non_local,2
3751,35.91061138821051,18.757834244359007,0.8882871769702597,bigru_tuned,full,3
757,57.5614238151071,30.33133509889263,0.5395170798429672,bigru_tuned,lambda500,3
308,75.9942447134669,42.32953170637429,-0.2915658775629222,bigru_tuned,lambda600,3
44,33.8236108264808,22.336929321289062,0.6928471050677834,bigru_tuned,azo,3
1239,26.911519162119454,14.720088400344908,0.9195099429764829,bigru_tuned,da,3
463,30.288778896049514,16.91892771299482,0.8841413232825858,bigru_tuned,dad,3
341,31.259714141604956,19.246139462327026,0.8929583114178252,bigru_tuned,bodipy,3
12,15.863255397042794,13.792780558268229,0.8709206552250366,bigru_tuned,cyanine,3
0,,,,bigru_tuned,squaraine,3
318,33.97062803904741,17.84062614355837,0.8752402701012072,bigru_tuned,stilbene,3
1870,41.24017969674706,20.47642119879972,0.8823491343526513,bigru_tuned,non_local,3
3751,34.68782764920759,17.675612488124784,0.8963657878832506,bigru_tuned,full,4
796,52.83178442174801,25.273067280245463,0.5921892725608876,bigru_tuned,lambda500,4
317,75.32910784310441,36.92409076975799,-0.24775331764382402,bigru_tuned,lambda600,4
51,39.94573166174421,27.824311499502144,0.5807336074496678,bigru_tuned,azo,4
1208,27.45980974358174,15.270674518515236,0.9237625439513885,bigru_tuned,da,4
431,31.746665700974024,17.512683719140625,0.8823158339899058,bigru_tuned,dad,4
347,34.50969805238102,15.393345409030527,0.8600584836228944,bigru_tuned,bodipy,4
13,20.20627123112233,17.56506817157452,0.7929037111280178,bigru_tuned,cyanine,4
0,,,,bigru_tuned,squaraine,4
301,37.45569294278327,20.325606158486035,0.8547208713750396,bigru_tuned,stilbene,4
1847,39.45224409786299,18.750136076529504,0.8925124877310724,bigru_tuned,non_local,4
3751,49.31063180923905,23.876414041919652,0.7801457948200934,chemberta,full,0
