smiles,class_label,xrn
Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n2nnnc12,NEG,35013
O=C1/C(=C/c2ccc(O)c(O)c2)Oc2c1ccc(O)c2O,POS,35356
CC[C@@]12CCCN3CC[C@]4(c5cccc(O)c5N[C@@H]4CC1)[C@H]32,NEG,35681
O=C(O)c1ccccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,NEG,35920
Cc1c(O)cc2c(c1O)C(=O)[C@H](O)[C@@H](c1ccccc1)O2,POS,36290
OCc1cc(O)ccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,NEG,36596
COc1cc(O)ccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,NEG,36597
CC(=O)Oc1ccc(C[C@H]2C(=O)NC(=S)N2C(C)=O)cc1,NEG,36877
O=C(/C=C/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1,POS,37114
COc1ccc([C@@H]2CC(=O)c3c(O)c(C)c(O)c(C)c3O2)cc1,POS,37152
COc1ccc2c(c1)C(=CCCN(C)C)c1cc(Cl)ccc1S2,POS,37301
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@H]2O[C@H]21,NEG,37512
COc1ccccc1-c1nc2c3ccccc3c3ccccc3c2o1,POS,37804
CCOC(=O)c1nc(Cc2ccccc2)[nH]c1NC(=S)NC,NEG,37816
CC[C@@]12CCCN3CC[C@]4(c5cccc(OC)c5N[C@@H]4CC1)[C@H]32,NEG,37850
C(=C/c1ccc2ccccc2n1)\c1ccc(/C=C/c2ccc3ccccc3n2)cc1,POS,38153
COC1=CC(=O)O[C@@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,NEG,38437
CCOC(=O)c1c(C)nc(C)c(C(=O)OCC)c1-c1ccccn1,NEG,38538
Oc1ccc2c(c1)OCc1c-2oc2cc3c(cc12)OCO3,POS,38561
COc1cc2c(cc1O)[C@@H]1[C@H](O)[C@@H](O)C=C3CCN(C2)[C@H]31,POS,39735
COc1cc2c3c(c1O)-c1c(cccc1OC)C[C@@H]3N(C)CC2,NEG,39931
O=c1c(O)c(-c2ccccc2O)oc2cc(O)cc(O)c12,POS,39982
COc1cc2c(cc1O)C(=O)O[C@@H]1CC=C3CCN(C)[C@H]3[C@H]21,POS,40525
OC[C@H]1O[C@@H](n2cnc3c(=S)[nH]cnc32)[C@H](O)[C@@H]1O,POS,40536
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](N)[C@H]1O,NEG,40560
OC[C@H]1O[C@@H](n2cnc3c(Cl)ncnc32)[C@H](O)[C@@H]1O,NEG,40573
O=C(O)C1=NN(c2ccccc2)C(=O)/C1=N\Nc1ccccc1,POS,40839
COc1ccc2c(=O)c(-c3ccccc3)c(/C=C/c3ccccc3)oc2c1,POS,41202
COc1ccc(C(C)=O)c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c1,NEG,41228
O=C(O)Cc1ccccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,NEG,41585
COc1cc2ccc3c(CCN(C)C)cc4c(c3c2cc1OC)OCO4,POS,41636
COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)cc3)oc2c1,POS,41959
CSC[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](O)[C@@H]1O,NEG,42390
CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,NEG,42420
C=CCc1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(OC)c1,NEG,42619
OC[C@H]1O[C@@H](Oc2ccc(Cl)c3cccnc23)[C@H](O)[C@@H](O)[C@@H]1O,POS,42772
CC1(C)O[C@H]2O[C@H](COCc3ccccc3)[C@H](OCc3ccccc3)[C@H]2O1,NEG,42791
COn1c2ccccc2c2nc3ccccc3c(OC(C)=O)c21,POS,43067
c1cc2c(cnc3c4cc5c(cc4ccc23)OCO5)c2c1OCO2,POS,43350
NC(=NO)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1N,NEG,43982
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=S)[nH]1,POS,44010
CN1CCC2=CC[C@H]3OC(=O)c4cc5c(cc4[C@H]3[C@@H]21)OCO5,POS,44093
COc1cc2c(cc1OC)[C@H]1[C@H]3C(=CC[C@H]1OC2=O)CCN3C,POS,44124
COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O,NEG,44723
COC(=O)/C=C/c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,POS,44724
O=C(O)/C=C/c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(O)c1,POS,44983
C[C@H]1[C@H]2CC[C@H]3[C@@H]4CC(=NO)[C@H]5C[C@@H](N(C)C)CC[C@]5(C)[C@H]4CC[C@]23CN1C,NEG,45369
COc1cc2occ(-c3ccc(O)cc3)c(=O)c2c(OC)c1O,POS,45703
COC1=CC=C2[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3C)[C@H]1O5,NEG,46094
Cc1c([C@H](C)[C@@H]2NC[C@@H](C)C[C@H]2O)ccc2c1C[C@H]1[C@H]2CC[C@H]2CC(=O)CC[C@@]21C,NEG,46136
COc1ccc(C2=NN(c3ccccc3)C(c3ccc(OC)cc3)C2)cc1,POS,46230
CN1CCC2=CC[C@H]3O[C@H](O)c4cc5c(cc4[C@H]3[C@@H]21)OCO5,NEG,46742
CCOC(=O)C1=NN(c2ccccc2)C(=O)/C1=N\Nc1ccccc1,POS,47050
COc1ccc([C@H]2c3cc4c(cc3C[C@@H](C)[C@@H]2C)OCO4)cc1OC,NEG,47111
COc1cc2c(cc1OC)[C@H](c1ccc3c(c1)OCO3)[C@@H](C)[C@H](C)C2,NEG,47112
COC(=O)c1ccccc1-c1c2ccc(=O)cc-2oc2cc(OC)ccc12,POS,47281
C[C@]12CCC=CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](c3ccc(=O)oc3)CC[C@]12O,NEG,47346
