smiles,solvent_smiles,log10_mec
Cn1c(=O)c2ncnnc2n(C)c1=O,CO,4.289990066054319
CC(=O)OC1(C)C=C(C)C2C=NNC2(C)C1=O,CO,2.437750562820388
CN(C)c1ccc(/C=C/C=C/c2nc3ccccc3s2)cc1,ClC(Cl)Cl,4.665580991017953
CN(C)c1ccc(/C=C/C=C/c2nc3ccccc3s2)cc1,CO,4.686636269262293
Cc1cc2nc3ccc(N(C)C)cc3nc2cc1N,O,4.158362492095249
Cc1cc2nc3ccc(N(C)C)cc3nc2cc1N,CC#N,4.133538908370218
Cc1cc2nc3ccc(N(C)C)cc3nc2cc1N,c1ccccc1,4.041392685158225
Cc1cc2nc3ccc(N(C)C)cc3nc2cc1N,CN(C)C=O,4.2455126678141495
Cc1cc2nc3ccc(N(C)C)cc3nc2cc1N,C1COCCO1,4.201397124320452
Cc1cc2nc3ccc(N(C)C)cc3nc2cc1N,CCOC(C)=O,4.285557309007774
Cc1cc2nc3ccc(N(C)C)cc3nc2cc1N,CO,4.176091259055681
O=C(/C=C/c1ccccc1)Nc1nc2ccccc2s1,CO,4.969997998598342
O[C@@H]1C[C@H](c2ccccc2)Oc2ccc(Cl)cc21,CO,3.699924402742477
c1ccc(C(Nc2ccccn2)Nc2ccccn2)cc1,CO,3.814713612695977
c1ccc(-c2nc(-c3ccccc3)c(-c3ccccc3)o2)cc1,CCO,4.7160033436347994
c1ccc(-c2nc(-c3ccccc3)c(-c3ccccc3)o2)cc1,CO,4.229988836544811
O=C(NN=Cc1cc(Cl)ccc1O)c1ccncc1,CO,4.172456974400587
COc1ccc2c(=O)cc(/C=C/c3ccccc3)oc2c1,CO,4.410000712543462
CCOC(=O)c1c([C@@H](O)[C@H](O)[C@H](O)CO)coc1C,CO,3.6989700043360187
COC1=C(OC)[C@@H]([C@@H]2COC(C)(C)O2)OC1=O,CO,3.7285161047597666
CCCCn1c2cc(=O)ccc-2nc2ccccc21,CO,4.589994256560121
COc1ccc(/C=C/c2cc(=O)c3cc(C)ccc3o2)cc1,CO,4.410000712543462
