smiles,xrn
COC1=CC(O)=CC=C1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,36597
CC(=O)OC1=CC=C(C[C@@H]2N(C(C)=O)C(=S)NC2=O)C=C1,36877
O=C(\C=C\C=C\C=C\C1=CC=C2OCOC2=C1)N1CCCCC1,37114
COC1=CC=C(C=C1)[C@@H]1CC(=O)C2=C(O1)C(C)=C(O)C(C)=C2O,37152
COC1=CC2=C(SC3=C(C=C(Cl)C=C3)C2=CCCN(C)C)C=C1,37301
[H][C@]12O[C@@]1([H])[C@@H](O[C@@H]2CO)N1C=NC2=C1N=CN=C2N,37512
COC1=C(C=CC=C1)C1=NC2=C(O1)C1=C(C=CC=C1)C1=C2C=CC=C1,37804
CCOC(=O)C1=C(NC(=S)NC)NC(CC2=CC=CC=C2)=N1,37816
[H][C@@]12CC[C@@]3(CC)CCCN4CC[C@]1(C1=CC=CC(OC)=C1N2)[C@@]34[H],37850
C(=C/C1=CC=C2C=CC=CC2=N1)\C1=CC=C(\C=C\C2=NC3=C(C=CC=C3)C=C2)C=C1,38153
COC1=CC(=O)O[C@@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,38437
CCOC(=O)C1=C(C)N=C(C)C(C(=O)OCC)=C1C1=CC=CC=N1,38538
OC1=CC2=C(C=C1)C1=C(CO2)C2=CC3=C(OCO3)C=C2O1,38561
[H][C@@]12N3CCC1=C[C@H](O)[C@@H](O)[C@@]2([H])C1=CC(O)=C(OC)C=C1C3,39735
[H][C@@]12CC3=C(C(OC)=CC=C3)C3=C(O)C(OC)=CC(CCN1C)=C23,39931
OC1=CC2=C(C(O)=C1)C(=O)C(O)=C(O2)C1=CC=CC=C1O,39982
[H][C@@]12N(C)CCC1=CC[C@@]1([H])OC(=O)C3=C(C=C(OC)C(O)=C3)[C@@]21[H],40525
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CNC2=S,40536
N[C@@H]1[C@@H](CO)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2N,40560
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2Cl,40573
OC(=O)C1=NN(C(=O)C\1=N/NC1=CC=CC=C1)C1=CC=CC=C1,40839
COC1=CC=C2C(=O)C(=C(OC2=C1)\C=C\C1=CC=CC=C1)C1=CC=CC=C1,41202
COC1=CC(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=C(C=C1)C(C)=O,41228
OC[C@H]1O[C@@H](OC2=C(CC(O)=O)C=CC=C2)[C@H](O)[C@@H](O)[C@@H]1O,41585
COC1=CC2=C(C=C1OC)C1=C(C=C2)C(CCN(C)C)=CC2=C1OCO2,41636
COC1=CC2=C(C(=O)C(O)=C(O2)C2=CC=C(O)C=C2)C(O)=C1,41959
CSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CNC2=O,42390
CSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N,42420
COC1=CC(CC=C)=CC=C1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,42619
OC[C@H]1O[C@@H](OC2=C3N=CC=CC3=C(Cl)C=C2)[C@H](O)[C@@H](O)[C@@H]1O,42772
[H][C@]12O[C@H](COCC3=CC=CC=C3)[C@H](OCC3=CC=CC=C3)[C@@]1([H])OC(C)(C)O2,42791
CON1C2=C(C=CC=C2)C2=NC3=CC=CC=C3C(OC(C)=O)=C12,43067
C1OC2=CC3=C(C=C2O1)C1=C(C=C3)C2=CC=C3OCOC3=C2C=N1,43350
NC(=NO)C1=C(N)N(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,43982
