n,RMSE,MAE,R2,model,subset,fold
776,59.981880237197295,35.4957169557144,0.4666474618042993,chemprop,lambda500,4
326,76.81616138784548,43.433900797524444,-0.4372177546932441,chemprop,lambda600,4
50,47.1410748786025,36.475283203125,0.5429039731165237,chemprop,azo,4
1196,32.65269173754407,22.177465278115204,0.8901119743386822,chemprop,da,4
453,35.4478720953142,22.995423979207192,0.8536629089233237,chemprop,dad,4
333,31.34867748709047,22.58879313741437,0.8758011915057592,chemprop,bodipy,4
13,35.108290979523154,28.430213341346153,0.5737576136670884,chemprop,cyanine,4
0,,,,chemprop,squaraine,4
325,39.75522524806563,26.47050518491226,0.8216674177751462,chemprop,stilbene,4
1813,44.74346963072731,26.60594601774166,0.8604495787760074,chemprop,non_local,4
3683,35.42332433037484,18.13745220524093,0.8913283292047839,bigru_tuned,full,0
737,54.43533747806303,27.329889070381405,0.5790385753675058,bigru_tuned,lambda500,0
312,73.92807956288708,38.63045111297702,-0.2502570966868374,bigru_tuned,lambda600,0
56,45.58386989595793,29.698898315429688,0.26252399846841534,bigru_tuned,azo,0
1194,27.81312746018608,14.786353512368809,0.9236880450733594,bigru_tuned,da,0
437,29.679727891239082,15.77226192862736,0.8942514157275592,bigru_tuned,dad,0
330,29.776080928425046,15.366520330255684,0.8917972425785746,bigru_tuned,bodipy,0
8,18.61678416629801,15.55562973022461,0.7778815199578467,bigru_tuned,cyanine,0
0,,,,bigru_tuned,squaraine,0
314,36.15119032262985,18.80818082195088,0.8764303290616956,bigru_tuned,stilbene,0
1773,39.365276595301125,19.19085082795822,0.8928734076750339,bigru_tuned,non_local,0
3683,35.74436528533228,18.95309499128847,0.8854511597275265,bigru_tuned,full,1
745,57.68548906093848,30.33167280877831,0.4623253077425492,bigru_tuned,lambda500,1
312,72.58118380795476,38.88069299106069,-0.42502710596024906,bigru_tuned,lambda600,1
50,43.85280432869063,29.00109680175781,0.5250885463508866,bigru_tuned,azo,1
1156,25.75433076342818,15.180602962828788,0.9251563533450441,bigru_tuned,da,1
423,27.51849675392892,17.34228630636082,0.9136336108517876,bigru_tuned,dad,1
353,28.70665172488508,17.283409782139696,0.8836372365758159,bigru_tuned,bodipy,1
13,22.515482878407315,19.60681856595553,0.8662713877605343,bigru_tuned,cyanine,1
0,,,,bigru_tuned,squaraine,1
291,29.642211584655957,17.824481554263315,0.8999885429034455,bigru_tuned,stilbene,1
1790,41.301638518997215,21.043223299817345,0.8771953208680138,bigru_tuned,non_local,1
3683,34.76572207975556,18.54467769132988,0.8931317463930932,bigru_tuned,full,2
773,52.96035853417652,27.575971724554798,0.5775499826370938,bigru_tuned,lambda500,2
298,74.44021511068226,41.13577691000419,-0.2654333073830759,bigru_tuned,lambda600,2
50,32.30395676684975,22.515018920898438,0.6907415161394463,bigru_tuned,azo,2
1167,27.57013104933695,15.54912586774482,0.9145443579113043,bigru_tuned,da,2
419,27.80017875262657,16.672840543364032,0.9066343622105839,bigru_tuned,dad,2
339,28.188428494418886,13.798202325601494,0.8975813747177315,bigru_tuned,bodipy,2
11,22.406796206743884,19.07857998934659,0.634328085701028,bigru_tuned,cyanine,2
0,,,,bigru_tuned,squaraine,2
291,42.781583994662135,21.491385362738935,0.8053430663089667,bigru_tuned,stilbene,2
1794,39.41204309018256,19.878405327340918,0.8875583306209525,bigru_tuned,non_local,2
3683,36.90025192524461,18.558237756354202,0.8825348323309203,bigru_tuned,full,3
801,59.22279677994072,27.688498432642785,0.5023380933683749,bigru_tuned,lambda500,3
307,83.80482173191287,38.818782623278445,-0.4325428706930663,bigru_tuned,lambda600,3
58,27.727539087796668,19.316339953192347,0.7664983846475469,bigru_tuned,azo,3
1232,29.24233004440929,15.633929573492985,0.9138596923823618,bigru_tuned,da,3
449,32.30787197459192,17.759004509179253,0.8869087774492389,bigru_tuned,dad,3
359,28.297067721025503,15.320917513111507,0.8973545366841125,bigru_tuned,bodipy,3
14,16.86292831477475,10.902045113699776,0.8784085518465323,bigru_tuned,cyanine,3
0,,,,bigru_tuned,squaraine,3
291,31.30863619389811,17.050953889475945,0.8908046252300956,bigru_tuned,stilbene,3
1887,42.467128276668646,19.597688157604253,0.8736347943841887,bigru_tuned,non_local,3
3683,38.14982592685394,19.835845197939168,0.8770512081849531,bigru_tuned,full,4
776,62.93940581539183,33.055156620789454,0.4127547769324341,bigru_tuned,lambda500,4
326,80.95421120311985,43.77190930982553,-0.59623291713506,bigru_tuned,lambda600,4
50,44.82056927884149,25.813240966796876,0.5867972326438536,bigru_tuned,azo,4
