canon,n_solvents,lmax_min,lmax_max,lmax_median,span_nm
CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc(C#Cc2ccc(C=C(C#N)C#N)cc2)cc1,4,345.0,410.0,347.0,65.0
CN(C)c1ccc(/C=C/C=C2\CC/C(=C\c3ccc(N(C)C)cc3)C2=O)cc1,23,435.0,500.0,484.0,65.0
c1ccc(N2N=C(c3ccc4ccc5cccc6ccc3c4c56)CC2c2ccc3ccc4cccc5ccc2c3c45)cc1,2,422.0,485.0,453.5,63.0
O=c1oc2ccccc2cc1-c1cn2ccccc2n1,2,349.0,412.0,380.5,63.0
COC(=O)c1c(C(=O)OC)c2ccc(C)nn2c1C,2,380.4,443.0,411.7,62.60000000000002
CCCCN(c1ccccc1)c1ccc2c(c1)C(CC)(CC)c1cc(/C=C/c3ccc(/C=C(\C#N)C(=O)O)s3)ccc1-2,8,424.0,486.0,462.0,62.0
N#Cc1c(-c2ccc([N+](=O)[O-])cc2)cc(-c2ccc([N+](=O)[O-])cc2)[nH]c1=O,7,386.0,448.0,392.0,62.0
CN(CCO)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2)cc1,4,487.0,548.0,503.5,61.0
COc1ccc(-c2csc(-c3ccncc3)n2)cc1,6,340.0,401.0,340.5,61.0
CCN(CC)c1ccc2cc(/C=C/C3=C4CC/C(=C\c5cc6ccc(N(CC)CC)cc6oc5=O)C4=[O+][B-](F)(F)O3)c(=O)oc2c1,9,629.0,690.0,653.0,61.0
Cc1ccc(-n2cccc2)cc1,3,254.0,315.0,254.0,61.0
N#Cc1nnn(-c2ccnc3cc(Cl)ccc23)c1N,9,326.0089978000001,386.6228494,368.7859566,60.61385159999992
CCCCCCCCCCCCCCCC[n+]1ccc(/C=C/c2ccc(N(C)C)cc2)cc1,15,454.6,515.2,479.0,60.60000000000002
N#Cc1coc2ccccc2c1=O,12,312.0,372.0,354.5,60.0
C[n+]1ccc(/C=C/c2ccc(N(c3ccccc3)c3ccc(/C=C/c4cc[n+](C)cn4)cc3)cc2)nc1,3,500.0,560.0,525.0,60.0
C[n+]1ccnc(/C=C/c2ccc(N(c3ccccc3)c3ccc(/C=C/c4c[n+](C)ccn4)cc3)cc2)c1,3,440.0,500.0,485.0,60.0
CC[N+]1=C(/C=C/c2cc3cc(C(C)(C)C)cc4ccc5cc(C(C)(C)C)cc2c5c43)C(C)(C)c2ccccc21,6,489.0,548.0,512.0,59.0
COC(=O)c1cc2c(cc3ccc4cccc5ccc2c3c45)[nH]1,2,400.0,458.0,429.0,58.0
FC(F)(F)c1ccc2oc3nc4oc5ccc(N(c6ccccc6)c6ccccc6)cc5c4cc3c2c1,2,287.0,345.0,316.0,58.0
N#Cc1ccc(-c2nc(-c3ccccc3)c3ccccn23)cc1,5,372.0,430.0,377.0,58.0
c1ccc(-n2cccc2)cc1,3,252.0,310.0,254.0,58.0
CN(C)c1ccc(-c2nc(-c3ccccc3)c3ccccn23)cc1,5,315.0,372.0,341.0,57.0
N#C/C(=C\c1ccncc1)c1nc(-c2ccccc2)cs1,7,361.0,418.0,370.0,57.0
COc1ccc(/C=C/C2=CC(/C=C/c3ccc(OC)cc3)=[O+][B-](OC(C)=O)(OC(C)=O)O2)cc1,8,456.0,513.0,463.0,57.0
O=C(/C=C/c1cn(-c2ccccc2)nc1-c1ccccc1)c1c(O)c2ccccc2oc1=O,10,352.0,409.0,403.0,57.0
